Model,CtxSize,VramMB,Vram,TPS,TTFT(msec)
nemo-4b,1K,2048,2G,14.8,200.0
nemo-4b,1K,4096,4G,20.1,200.0
nemo-4b,1K,6144,6G,33.1,200.0
nemo-4b,1K,8192,8G,66.1,100.0
nemo-4b,1K,12288,12G,116.9,100.0
nemo-4b,1K,24576,24G,116.9,100.0
nemo-4b,1K,32768,32G,116.9,100.0
nemo-4b,4K,2048,2G,12.3,500.0
nemo-4b,4K,4096,4G,18.4,400.0
nemo-4b,4K,6144,6G,28.8,400.0
nemo-4b,4K,8192,8G,63.1,400.0
nemo-4b,4K,12288,12G,108.7,400.0
nemo-4b,4K,24576,24G,108.4,400.0
nemo-4b,4K,32768,32G,108.4,400.0
nemo-4b,16K,2048,2G,5.3,2700.0
nemo-4b,16K,4096,4G,12.2,2500.0
nemo-4b,16K,6144,6G,18.7,2400.0
nemo-4b,16K,8192,8G,29.5,2200.0
nemo-4b,16K,12288,12G,87.9,2000.0
nemo-4b,16K,24576,24G,87.9,2000.0
nemo-4b,16K,32768,32G,87.9,2000.0
nemo-4b,64K,2048,2G,1.3,28800.0
nemo-4b,64K,4096,4G,1.6,27700.0
nemo-4b,64K,6144,6G,2.0,26000.0
nemo-4b,64K,8192,8G,3.2,24700.0
nemo-4b,64K,12288,12G,15.0,22100.0
nemo-4b,64K,24576,24G,50.3,17200.0
nemo-4b,64K,32768,32G,50.3,17200.0
nemo-8b,1K,2048,2G,7.6,400.0
nemo-8b,1K,4096,4G,8.6,300.0
nemo-8b,1K,6144,6G,10.0,300.0
nemo-8b,1K,8192,8G,12.4,300.0
nemo-8b,1K,12288,12G,21.6,200.0
nemo-8b,1K,24576,24G,70.0,200.0
nemo-8b,1K,32768,32G,70.1,200.0
nemo-8b,4K,2048,2G,6.4,800.0
nemo-8b,4K,4096,4G,8.2,800.0
nemo-8b,4K,6144,6G,9.5,700.0
nemo-8b,4K,8192,8G,11.6,700.0
nemo-8b,4K,12288,12G,20.3,700.0
nemo-8b,4K,24576,24G,66.7,600.0
nemo-8b,4K,32768,32G,66.6,600.0
nemo-8b,16K,2048,2G,3.3,4100.0
nemo-8b,16K,4096,4G,4.8,3900.0
nemo-8b,16K,6144,6G,8.1,3800.0
nemo-8b,16K,8192,8G,9.5,3700.0
nemo-8b,16K,12288,12G,14.5,3400.0
nemo-8b,16K,24576,24G,56.9,3000.0
nemo-8b,16K,32768,32G,56.7,2900.0
nemo-8b,64K,2048,2G,1.0,53800.0
nemo-8b,64K,4096,4G,1.1,35600.0
nemo-8b,64K,6144,6G,1.4,34600.0
nemo-8b,64K,8192,8G,1.7,33300.0
nemo-8b,64K,12288,12G,3.8,31200.0
nemo-8b,64K,24576,24G,25.2,24600.0
nemo-8b,64K,32768,32G,36.5,22600.0
qwen-30b,1K,2048,2G,25.7,600.0
qwen-30b,1K,4096,4G,26.2,600.0
qwen-30b,1K,6144,6G,29.6,520.0
qwen-30b,1K,8192,8G,32.1,500.0
qwen-30b,1K,12288,12G,36.5,400.0
qwen-30b,1K,24576,24G,158.1,300.0
qwen-30b,1K,32768,32G,158.6,300.0
qwen-30b,4K,2048,2G,25.6,1500.0
qwen-30b,4K,4096,4G,26.7,1500.0
qwen-30b,4K,6144,6G,28.3,1400.0
qwen-30b,4K,8192,8G,31.7,1300.0
qwen-30b,4K,12288,12G,37.0,1200.0
qwen-30b,4K,24576,24G,141.3,1000.0
qwen-30b,4K,32768,32G,141.3,1000.0
qwen-30b,16K,2048,2G,20.4,6800.0
qwen-30b,16K,4096,4G,25.1,6500.0
qwen-30b,16K,6144,6G,27.4,6180.0
qwen-30b,16K,8192,8G,28.7,5800.0
qwen-30b,16K,12288,12G,33.3,5300.0
qwen-30b,16K,24576,24G,101.5,4100.0
qwen-30b,16K,32768,32G,100.9,4100.0
qwen-30b,64K,2048,2G,4.7,42100.0
qwen-30b,64K,4096,4G,6.7,41300.0
qwen-30b,64K,6144,6G,11.8,39700.0
qwen-30b,64K,8192,8G,21.1,38500.0
qwen-30b,64K,12288,12G,24.2,35900.0
qwen-30b,64K,24576,24G,60.6,26700.0
qwen-30b,64K,32768,32G,60.6,26600.0
qwen-235b,1K,2048,2G,7.7,2500.0
qwen-235b,1K,4096,4G,8.7,2400.0
qwen-235b,1K,6144,6G,9.0,2400.0
qwen-235b,1K,8192,8G,9.1,2300.0
qwen-235b,1K,12288,12G,9.4,2300.0
qwen-235b,1K,24576,24G,10.6,2100.0
qwen-235b,1K,32768,32G,11.5,2000.0
qwen-235b,4K,2048,2G,7.5,6700.0
qwen-235b,4K,4096,4G,8.3,6700.0
qwen-235b,4K,6144,6G,9.0,6700.0
qwen-235b,4K,8192,8G,9.0,6600.0
qwen-235b,4K,12288,12G,9.3,6500.0
qwen-235b,4K,24576,24G,10.4,6100.0
qwen-235b,4K,32768,32G,11.1,5900.0
qwen-235b,16K,2048,2G,5.2,28800.0
qwen-235b,16K,4096,4G,6.7,28800.0
qwen-235b,16K,6144,6G,7.6,28600.0
qwen-235b,16K,8192,8G,8.6,28400.0
qwen-235b,16K,12288,12G,8.9,27900.0
qwen-235b,16K,24576,24G,9.9,26500.0
qwen-235b,16K,32768,32G,10.9,25700.0
qwen-235b,64K,2048,2G,2.0,148100.0
qwen-235b,64K,4096,4G,2.1,148000.0
qwen-235b,64K,6144,6G,2.4,147200.0
qwen-235b,64K,8192,8G,2.8,146700.0
qwen-235b,64K,12288,12G,4.1,145200.0
qwen-235b,64K,24576,24G,8.2,140700.0
qwen-235b,64K,32768,32G,8.7,138200.0
